Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Davis, J.D.",Athletics,3,2500000,,0,0.0,J.D. Davis,142,157,31,22,5,0,4,39,12,24.8,7.6,0.218,0.338,0.293,0.631,0.212,0.347,0.282,0.284,0.288,0.135,72.5,18.1,16.3,10.9,33.1,22.3,7.3,6,89.1,2.8,24.3,8.7,43.7,101.438864902,94.978441569,34.8,51.4
"Gallo, Joey",Nationals,OF,2500000,,0,0.0,Joey Gallo,223,260,36,17,9,0,10,102,32,39.2,12.3,0.161,0.336,0.277,0.613,0.173,0.348,0.276,0.285,0.287,0.176,72.4,22.8,13.6,8.3,32.9,20.0,7.3,2,90.5,26.1,32.8,13.1,43.4,100.325545574,94.605556281,39.6,45.3
"Grandal, Yasmani",Pirates,C,2500000,,0,0.0,Yasmani Grandal,215,243,49,30,10,0,9,46,24,18.9,9.9,0.228,0.4,0.304,0.704,0.246,0.419,0.308,0.325,0.321,0.174,70.3,8.5,17.9,14.9,42.3,35.3,7.4,12,91.1,11.1,31.8,9.8,42.8,100.246108353,94.442007765,20.1,40.9
"Jeffers, Ryan",Twins,C,2425000,,0,0.0,Ryan Jeffers,412,465,93,50,22,0,21,94,32,20.2,6.9,0.226,0.432,0.3,0.732,0.226,0.386,0.317,0.304,0.302,0.16,72.9,34.1,13.3,10.5,27.4,21.6,7.5,23,86.9,16.2,31.7,8.3,33.8,99.008221173,93.57098291,23.6,48.5
"Carlson, Dylan",Cardinals,OF,2350000,,0,0.0,Dylan Carlson,235,265,49,39,7,0,3,75,22,28.3,8.3,0.209,0.277,0.287,0.564,0.195,0.27,0.257,0.25,0.276,0.074,68.5,2.4,9.0,6.3,29.2,20.4,7.1,15,86.8,15.8,30.1,2.5,25.8,96.530139877,92.297463602,31.0,48.2
"Chourio, Jackson",Brewers,OF,2250000,(8 (2024-31),82000000,10250000.0,Jackson Chourio,528,573,145,91,29,4,21,121,39,21.1,6.8,0.275,0.464,0.327,0.791,0.274,0.43,0.339,0.328,0.326,0.156,73.2,34.0,17.9,13.5,34.5,26.0,7.4,22,89.7,7.6,33.2,7.8,44.9,100.832969557,94.831073407,27.1,48.8
"Higashioka, Kyle",Padres,C,2180000,,0,0.0,Kyle Higashioka,246,263,54,26,10,1,17,74,15,28.1,5.7,0.22,0.476,0.263,0.739,0.22,0.43,0.314,0.298,0.264,0.21,71.8,17.1,14.5,11.4,32.4,25.4,7.3,12,88.4,20.7,40.2,10.9,37.4,99.356005116,93.902030409,25.6,46.4
"Fraley, Jake",Reds,OF,2150000,,0,0.0,Jake Fraley,350,382,97,71,19,2,5,70,26,18.3,6.8,0.277,0.386,0.33,0.716,0.245,0.323,0.314,0.285,0.304,0.079,71.8,20.0,7.2,5.7,25.8,20.6,7.1,1,84.3,11.1,34.6,3.2,24.7,95.677326241,91.891008399,21.3,57.9
"Joe, Connor",Pirates,OF,2125000,,0,0.0,Connor Joe,364,416,83,51,22,1,9,91,44,21.9,10.6,0.228,0.368,0.32,0.688,0.206,0.308,0.305,0.277,0.301,0.103,72.1,23.9,12.7,9.7,27.8,21.4,7.4,18,85.3,16.3,30.9,4.7,32.7,97.939201314,92.982890511,25.7,43.1
"Bethancourt, Christian",Marlins,C,2050000,,0,0.0,Christian Bethancourt,139,147,29,17,7,0,5,36,5,24.5,3.4,0.209,0.367,0.241,0.608,0.218,0.36,0.263,0.267,0.25,0.142,71.9,23.8,12.7,9.1,33.1,23.8,7.5,9,89.1,12.4,25.7,7.6,41.9,100.460386122,94.266459184,31.5,61.4
"Taylor, Tyrone",Mets,OF,2025000,,0,0.0,Tyrone Taylor,319,345,79,47,22,3,7,80,19,23.2,5.5,0.248,0.401,0.299,0.7,0.249,0.389,0.304,0.301,0.301,0.14,70.5,6.4,13.7,10.9,33.6,26.8,7.6,8,87.3,16.8,34.9,7.1,35.3,99.355167983,93.783487975,22.2,49.4
"Winker, Jesse",Nationals,OF,2000000,,0,0.0,Jesse Winker,430,508,109,72,23,0,14,106,63,20.9,12.4,0.253,0.405,0.36,0.765,0.245,0.384,0.338,0.329,0.353,0.139,69.6,7.7,11.7,9.6,32.7,26.9,7.3,20,88.6,14.0,30.1,7.6,37.4,98.91091179,93.570274815,19.6,43.2
"Vogelbach, Daniel",Blue Jays,DH,2000000,,0,0.0,Daniel Vogelbach,70,79,13,7,5,0,1,17,9,21.5,11.4,0.186,0.3,0.278,0.578,0.273,0.466,0.262,0.36,0.358,0.193,72.5,20.5,23.2,20.5,42.0,37.2,7.6,1,90.9,8.1,35.8,9.4,45.1,101.481826923,95.238581569,15.7,29.8
"Arcia, Orlando",Braves,SS,2000000,3,7300000,2433333.0,Orlando Arcia,551,602,120,79,24,0,17,128,41,21.3,6.8,0.218,0.354,0.271,0.625,0.206,0.323,0.273,0.261,0.263,0.118,70.9,13.5,12.3,9.3,34.1,25.8,7.9,25,88.2,8.6,29.9,5.3,37.8,98.41985743,93.283896472,26.6,49.1
"Crawford, Brandon",Cardinals,SS,2000000,,0,0.0,Brandon Crawford,71,80,12,6,5,0,1,26,8,32.5,10.0,0.169,0.282,0.263,0.545,0.207,0.308,0.248,0.275,0.296,0.101,70.6,13.8,9.7,6.5,25.8,17.4,7.4,6,89.7,13.5,37.8,6.7,33.3,98.650605652,93.537666,35.8,51.4
