"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Smith, Will",519293,2024,34,"45","41.1",186,165,45,27,11,0,7,29,15,15.6,8.1,".273",".467",".342","0.809",".284",".475",".347",".356",".353",".191","71.4",22.9,14.1,11.5,34.1,27.7,"7.6",6,"87","18",40.3,8.6,30.9,"75.807624348","93.165260584",23.7,47
"Gose, Anthony",543238,2024,33,"3","4.1",22,21,9,3,4,0,2,4,1,18.2,4.5,".429",".905",".455","1.360",".365",".720",".566",".472",".394",".355","69.5",9.7,24,19.4,44,35.5,"7.2",0,"89.7","9",35.3,17.6,47.1,"78.078538889","95.300834706",21.1,48.1
"Allen, Logan",671106,2024,25,"20","97.1",432,383,113,62,26,3,22,79,41,18.3,9.5,".295",".551",".367","0.918",".276",".496",".390",".367",".351",".221","71.7",24.5,20.4,16.7,38.3,31.3,"7.3",14,"91","13.4",36,11.4,46.4,"80.018277434","95.493760921",21.2,45
"Coulombe, Danny",543056,2024,34,"33","29.2",107,102,15,9,3,0,3,32,5,29.9,4.7,".147",".265",".187","0.452",".214",".357",".199",".266",".251",".143","71.3",17.2,15,11.5,33.8,25.9,"7.3",1,"90.3","11.8",27.1,5.7,47.1,"79.797467143","95.036747681",24,44.6
"Montgomery, Jordan",656756,2024,31,"25","117.0",532,478,149,92,40,3,14,83,44,15.6,8.3,".312",".496",".369","0.865",".287",".443",".370",".347",".350",".156","72",25.5,17.1,12.9,37.8,28.5,"7.6",20,"88.6","12.2",36.6,6,41,"77.212722234","94.218289135",26.9,49.6
"Fulmer, Carson",608334,2024,30,"37","86.2",379,329,81,46,24,0,11,81,40,21.4,10.6,".246",".419",".334","0.753",".249",".433",".326",".334",".339",".184","72.3",27.2,14.8,11.2,32.3,24.5,"7.5",15,"90.6","13",34.1,9.5,44.4,"80.4347144","94.852082088",25.8,46.3
"Young, Danny",664849,2024,30,"42","37.2",165,138,29,20,6,0,3,48,18,29.1,10.9,".210",".319",".331","0.650",".250",".387",".297",".338",".366",".137","71.3",22.5,14.7,10.8,28.8,21.3,"7.6",12,"88.9","2.8",29.3,6.5,39.1,"77.741639556","94.178702584",30.7,38.3
"Bradley, Taj",671737,2024,23,"25","138.0",578,519,122,77,22,1,22,154,47,26.6,8.1,".235",".408",".300","0.708",".231",".418",".308",".314",".298",".187","71.6",22.1,12.2,8.9,31.4,22.8,"7.2",17,"91.2","13.3",34.9,10.2,42.9,"81.556942554","94.766375924",27.4,50.7
"Mlodzinski, Carmen",669387,2024,25,"40","50.2",209,184,41,30,8,0,3,46,19,22,9.1,".223",".315",".297","0.612",".227",".336",".272",".284",".304",".109","70.8",14.8,9.7,7.3,32.1,23.9,"7.2",10,"89.3","12.9",29.6,2.8,35.2,"79.432965571","93.818028357",26.1,48.2
"Weissert, Greg",669711,2024,29,"62","63.1",263,237,65,49,9,0,7,58,20,22.1,7.6,".274",".401",".324","0.725",".248",".367",".310",".291",".303",".119","70.6",16.3,12.2,10,31.8,26.1,"7.2",3,"88.9","12.8",33.5,5.9,40.5,"78.219672637","93.989904231",20.3,48.3
