Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Abbott, Andrew",Reds,LHP,742500,,0,0.0,Andrew Abbott,25,138.0,586,529,127,73,28,1,25,114,52,19.5,8.9,0.24,0.439,0.309,0.748,0.234,0.402,0.323,0.31,0.305,0.168,71.7,23.2,12.0,9.4,32.5,25.5,7.3,4.0,88.2,21.3,36.6,9.3,33.5,78.18333039,93.177609095,22.6,47.6
"Williamson, Brandon",Reds,LHP,742500,,0,0.0,Brandon Williamson,4,14.1,59,51,10,5,1,0,4,12,5,20.3,8.5,0.196,0.451,0.288,0.739,0.24,0.427,0.318,0.336,0.333,0.187,72.7,30.1,10.4,8.6,29.9,24.7,7.5,1.0,90.0,19.9,45.0,7.5,42.5,81.0951245,93.913900513,18.7,41.8
"Williams, Gavin",Guardians,RHP,742100,,0,0.0,Gavin Williams,16,76.0,332,293,72,45,17,3,7,79,32,23.8,9.6,0.246,0.396,0.323,0.719,0.248,0.39,0.315,0.317,0.327,0.142,71.2,19.8,14.9,11.4,33.2,25.3,7.1,10.0,90.8,13.2,32.1,6.9,44.0,80.792360917,94.867836636,24.8,49.2
"Cronin, Declan",Marlins,RHP,742000,,0,0.0,Declan Cronin,56,70.1,307,274,75,57,16,1,1,72,26,23.5,8.5,0.274,0.35,0.346,0.696,0.239,0.348,0.308,0.295,0.316,0.109,71.3,22.9,17.6,13.5,36.1,27.8,7.2,12.0,89.5,1.6,29.9,4.9,41.7,77.965516238,94.675264406,26.6,47.3
"Vodnik, Victor",Rockies,RHP,742000,,0,0.0,Victor Vodnik,64,73.2,320,280,72,55,6,4,7,65,37,20.3,11.6,0.257,0.382,0.345,0.727,0.256,0.423,0.322,0.338,0.346,0.167,70.6,16.2,13.6,10.7,35.9,28.2,7.1,8.0,91.3,4.5,27.6,7.8,49.3,81.212304393,95.271991729,21.8,44.1
"Waldron, Matt",Padres,RHP,741800,,0,0.0,Matt Waldron,27,146.2,625,568,145,90,32,2,21,133,40,21.3,6.4,0.255,0.43,0.315,0.745,0.246,0.406,0.323,0.313,0.308,0.16,71.5,22.7,14.6,11.9,33.9,27.6,7.3,15.0,88.1,16.4,33.9,7.0,35.0,77.177450505,93.585477592,20.8,45.3
"Hudson, Bryan",Brewers,LHP,741700,,0,0.0,Bryan Hudson,43,62.1,231,208,28,13,7,1,7,62,17,26.8,7.4,0.135,0.279,0.209,0.488,0.198,0.335,0.218,0.27,0.268,0.138,71.2,20.4,12.2,9.7,27.6,21.8,7.0,7.0,87.8,14.2,35.8,6.8,36.5,76.378445676,93.743675068,21.5,47.7
"Dubin, Shawn",Astros,RHP,741600,,0,0.0,Shawn Dubin,31,45.1,207,176,45,30,12,0,3,49,26,23.7,12.6,0.256,0.375,0.353,0.728,0.22,0.338,0.324,0.308,0.328,0.118,72.1,25.5,15.5,11.6,36.6,27.4,7.2,8.0,89.5,12.1,31.5,7.7,42.3,78.970994769,94.306383488,26.3,42.5
"Wicks, Jordan",Cubs,LHP,741500,,0,0.0,Jordan Wicks,11,46.0,212,189,55,35,10,1,9,42,20,19.8,9.4,0.291,0.497,0.365,0.862,0.267,0.45,0.373,0.347,0.343,0.183,71.2,21.3,13.1,10.6,32.2,26.1,7.3,6.0,89.4,14.9,35.8,8.8,39.9,78.570555616,94.331509178,23.4,50.2
"Hancock, Emerson",Mariners,RHP,741300,,0,0.0,Emerson Hancock,12,60.2,266,239,62,41,7,2,12,39,19,14.7,7.1,0.259,0.456,0.327,0.783,0.29,0.484,0.339,0.368,0.359,0.194,72.1,26.2,16.0,12.6,34.4,27.1,7.3,5.0,88.5,16.5,39.6,9.9,46.0,76.538445842,94.375983366,21.9,50.0
"Bolton, Cody",Mariners,RHP,741100,,0,0.0,Cody Bolton,17,18.2,83,73,18,11,3,1,3,17,9,20.5,10.8,0.247,0.438,0.325,0.763,0.234,0.377,0.33,0.306,0.316,0.144,71.8,23.2,10.8,8.1,29.7,22.2,7.3,1.0,87.0,15.1,33.3,7.0,35.1,75.299181379,93.526030877,24.8,42.6
